book_id,n_reviews,rating_medio,rating_mediano,n_usuarios,n_votes,n_comments,word_count_medio
2767052,16,4.625,5.0,16,5,1,123.625
9460487,15,4.066666666666666,4.0,15,24,8,112.73333333333333
22557272,13,3.6153846153846154,4.0,13,6,1,87.07692307692308
11870085,12,4.583333333333333,5.0,12,3,0,144.5
18710190,9,3.888888888888889,4.0,9,4,1,65.11111111111111
16143347,9,4.222222222222222,4.0,9,4,2,86.22222222222223
8490112,8,4.375,5.0,8,4,17,85.25
99561,8,3.375,3.5,8,0,0,29.25
6148028,8,4.375,4.0,8,1,0,93.875
11235712,8,4.125,4.0,8,5,0,68.25
10818853,8,2.375,1.5,8,2,0,124.0
9969571,7,3.857142857142857,4.0,7,1,3,127.28571428571429
2657,7,4.857142857142857,5.0,7,10,0,38.285714285714285
10194157,7,4.142857142857143,4.0,7,16,10,100.42857142857143
13335037,7,4.428571428571429,5.0,7,1,0,60.142857142857146
11735983,7,4.571428571428571,5.0,7,1,0,108.42857142857143
29056083,7,3.2857142857142856,3.0,7,4,0,157.57142857142858
16160797,7,4.0,4.0,7,5,2,107.0
2429135,7,3.4285714285714284,4.0,7,0,0,82.14285714285714
4667024,7,4.714285714285714,5.0,7,0,0,21.714285714285715
19063,6,2.6666666666666665,2.5,6,0,2,26.0
8908,6,4.166666666666667,4.5,6,0,0,65.66666666666667
9361589,6,3.8333333333333335,4.0,6,2,0,95.0
18214414,6,4.0,4.0,6,1,0,65.83333333333333
8442457,6,4.5,4.5,6,1,5,33.166666666666664
7937843,6,4.333333333333333,4.5,6,4,0,113.66666666666667
256683,6,4.0,4.0,6,28,7,234.0
6339664,6,4.166666666666667,4.5,6,0,1,114.0
18143977,6,4.0,4.5,6,2,1,228.33333333333334
16096824,6,4.0,4.0,6,2,0,242.33333333333334
15783514,6,3.8333333333333335,4.0,6,1,1,40.666666666666664
41865,5,3.6,4.0,5,0,3,40.6
10210,5,3.6,4.0,5,0,3,39.0
15745753,5,4.4,5.0,5,12,1,228.4
7896527,5,4.4,4.0,5,2,0,65.8
43641,5,4.2,5.0,5,0,10,65.6
15507958,5,4.0,4.0,5,2,0,350.8
6186357,5,4.0,5.0,5,0,0,55.0
24920901,5,4.8,5.0,5,5,0,121.0
3777732,5,4.4,5.0,5,13,3,37.8
14290364,5,4.6,5.0,5,2,0,64.4
17675462,5,4.4,5.0,5,1,0,50.4
49436,5,3.8,4.0,5,0,1,69.8
24178,5,4.8,5.0,5,1,0,108.4
16101128,5,4.4,4.0,5,1,0,124.6
10644930,5,4.2,4.0,5,3,0,77.8
78411,5,3.6,3.0,5,1,0,13.4
3,5,3.8,4.0,5,4,0,84.4
10572,5,4.0,4.0,5,1,0,96.8
23174274,5,3.4,3.0,5,8,0,38.2
3228917,4,4.75,5.0,4,0,0,47.75
7735333,4,3.25,3.0,4,0,0,104.25
12578077,4,4.0,4.5,4,16,3,127.25
11500217,4,4.5,5.0,4,7,3,112.25
18692431,4,4.5,4.5,4,1,0,34.25
16034964,4,3.75,4.0,4,1,0,109.75
3236307,4,4.75,5.0,4,0,0,82.25
865,4,3.75,4.0,4,1,0,28.5
7791997,4,4.5,4.5,4,2,0,102.25
22328546,4,3.75,3.5,4,7,2,109.25
6304335,4,3.75,3.5,4,19,5,145.0
7260188,4,3.25,3.0,4,1,1,304.0
5,4,4.75,5.0,4,3,2,46.0
28187,4,4.25,4.5,4,0,0,67.5
16248068,4,3.25,4.0,4,16,7,128.75
49041,4,3.75,3.5,4,0,0,18.5
15745950,4,4.75,5.0,4,1,0,58.75
13262783,4,4.25,4.5,4,0,0,68.0
128029,4,5.0,5.0,4,0,0,37.75
25526965,4,4.5,4.5,4,8,0,198.25
6442769,4,3.5,3.5,4,3,0,239.75
14061957,4,4.5,4.5,4,15,7,220.25
28686840,4,4.0,4.0,4,0,0,225.75
3636,4,4.5,5.0,4,3,1,88.25
