book_id,title,title_without_series,isbn,isbn13,openlibrary_title,openlibrary_authors,openlibrary_isbn10,openlibrary_isbn13,google_title,google_authors,google_isbn10,google_isbn13,title_similarity_openlibrary,title_similarity_google,title_similarity_between_apis,isbn13_match_openlibrary,isbn13_match_google,same_isbn13_between_apis,match_score,match_status
38568,A Quick Bite (Argeneau #1),A Quick Bite (Argeneau #1),0060773758,9780060773755,A Quick Bite (Argeneau Vampire),Lynsay Sands,0060773758,9780060773755,A Quick Bite,Lynsay Sands,0060773758,9780060773755,0.8462,0.6857,0.5854,True,True,True,236,REJEITAR
19057,I Am the Messenger,I Am the Messenger,0375836675,9780375836671,I Am The Messenger,Markus Zusak,,9780375836671,השליח,Markus Zusak,0375836675,9780375836671,1.0,0.0,0.0,True,True,True,205,REJEITAR
29510334,"Palm South University: Season 2, Episode 2","Palm South University: Season 2, Episode 2",,,Palm South University,Kandi Steiner,1548835935,9781523876297,Palm South University Season 3,Kandi Steiner,1973744252,9781973744252,0.6885,0.8286,0.8235,False,False,False,20,BAIXO
17950614,"UnDivided (Unwind, #4)","UnDivided (Unwind, #4)",,,Undivided,Neal Shusterman,148140976X,9781471122545,An Undivided Union,"Oliver Stratemeyer, Edward Optic",3732685063,9783732685066,0.6667,0.7778,0.6667,False,False,False,13,BAIXO
1375896,"Queste (Septimus Heap, #4)","Queste (Septimus Heap, #4)",0060882077,9780060882075,Queste,Angie Sage,,9780060882075,"Septimus Heap, Book Four: Queste",Angie Sage,0060882077,9780060882075,0.4286,0.5385,0.3333,True,True,True,166,REJEITAR
7634439,Force of Law,Force of Law,1603709169,9781603709163,Force of Law,Mariana Valverde,0888998171,9780888998170,The Force of Law Reaffirmed,Christoph Bezemek|Nicoletta Ladavac,3319339877,9783319339870,1.0,0.6154,0.6154,False,False,False,38,REJEITAR
21470849,Why Would a Dog Need A Parachute?: Questions and Answers About the Second World War,Why Would a Dog Need A Parachute?: Questions and Answers About the Second World War,1447226186,9781447226185,Why Would A Dog Need A Parachute And Other Important Questions Published In,Jo Foster,,9781447226185,Why Would a Dog Need a Parachute?,Jo Foster,1447226186,9781447226185,0.5897,0.5664,0.5981,True,True,True,166,REJEITAR
538294,"Grave Surprise (Harper Connelly, #2)","Grave Surprise (Harper Connelly, #2)",0425214702,9780425214701,"Grave Surprise (Harper Connelly Mysteries, No. 2)",Charlaine Harris,0425214702,9780425214701,Grave Surprise,Charlaine Harris,0425214702,9780425214701,0.8312,0.6087,0.4746,True,True,True,236,REJEITAR
23985129,"Loving Kate (Acceptance, #3)","Loving Kate (Acceptance, #3)",9781943092,,Who Loves Kate,Katherine Applegate,0613178874,9780613178877,Loving Kate,Lara Van Hulzen,1944925783,9781944925789,0.4211,0.6286,0.64,False,False,False,-17,REJEITAR
6218768,التنظيم السري,التنظيم السري,9771101161,9789771101161,al- Tanẓīm al-sirrī,نجيب محفوظ,9771101161,,التنظيم السري,نجيب محفوظ|Najīb Maḥfūẓ,,,0.0645,1.0,0.0645,False,False,False,101,REJEITAR
30250833,Femme,Femme,,,,,,,La Femme de Gilles,Madeleine Bourdouxhe,,,0.0,0.4348,0.0,False,False,False,-25,REJEITAR
21881793,"The Vanishing Throne (The Falconer, #2)","The Vanishing Throne (The Falconer, #2)",,,Vanishing Throne,Elizabeth May,0575130466,9781035917112,The Vanishing Throne,Elizabeth May,0575130482,9780575130487,0.6275,0.7273,0.8889,False,False,False,37,BAIXO
10955085,Extra Virginity: The Sublime and Scandalous World of Olive Oil,Extra Virginity: The Sublime and Scandalous World of Olive Oil,0393070212,9780393070217,Extra virginity,Tom Mueller,,9780393070217,Extra Virginity: The Sublime and Scandalous World of Olive Oil,Tom Mueller,0393070212,9780393070217,0.3947,1.0,0.3947,True,True,True,221,REJEITAR
2233407,"From Dead to Worse (Sookie Stackhouse, #8)","From Dead to Worse (Sookie Stackhouse, #8)",0441015891,9780441015894,"From Dead to Worse (Southern Vampire Mysteries, Book 8)",Charlaine Harris,0441015891,9780441015894,From Dead to Worse,Charlaine Harris,0441015891,9780441015894,0.5556,0.6429,0.5143,True,True,True,206,REJEITAR
26079201,Cursed by the Gods,Cursed by the Gods,,,Cursed by the Gods,Raye Wagner,1546544194,9781546544197,Cursed,Lindsey Pogue,,,1.0,0.5,0.5,False,False,False,30,REJEITAR
13372690,"Slammed (Slammed, #1)","Slammed (Slammed, #1)",,,Slammed,Colleen Hoover,1476715912,9781476715919,A Miúda Certa (Slammed 3),Colleen Hoover,9895896301,9789895896301,0.5833,0.6,0.4667,False,False,False,-2,REJEITAR
30896674,"Nailbiter, Vol. 5: Bound by Blood","Nailbiter, Vol. 5: Bound by Blood",1632158922,9781632158925,Nailbiter,Joshua Williamson,1632158922,9781632158925,Nailbiter Volume 5: Bound by Blood,Joshua Williamson,1632158922,9781632158925,0.4615,0.9524,0.4286,True,True,True,253,REJEITAR
7292137,"""Starving"" to Successful | The Fine Artist's Guide to Getting Into Galleries and Selling More Art","""Starving"" to Successful | The Fine Artist's Guide to Getting Into Galleries and Selling More Art",0981986420,9780981986425,"""Starving"" to Successful | The Fine Artist's Guide to Getting Into Galleries and Selling More Art",J. Jason Horejs,0981986420,9780981986425,"""Starving"" to Successful",J. Jason Horejs,0981986420,9780981986425,1.0,0.3826,0.3826,True,True,True,245,REJEITAR
6391211,"Beautiful Creatures (Caster Chronicles, #1)","Beautiful Creatures (Caster Chronicles, #1)",1600248462,9781600248467,Beautiful Creatures,Kami Garcia|Margaret Stohl,1600248462,9781600248467,The Beautiful Creatures Complete Collection,Kami Garcia|Margaret Stohl,031621941X,9780316219419,0.6552,0.6585,0.6129,True,False,False,96,REJEITAR
29994228,Ситуация след ситуация,Ситуация след ситуация,,9786191508297,Situat͡sii͡a sled situat͡sii͡a,Teo Chepilov,,9786191508297,Ситуация след ситуация,Тео Чепилов,6191508298,9786191508297,0.0833,1.0,0.0833,True,True,True,158,REJEITAR
3121515,The Lindbergh Child,The Lindbergh Child,1561635294,9781561635290,Treasury of XXth Century Murder,Rick Geary,1561635294,9781561635290,The Lindbergh Child,Rick Geary,1561635294,9781561635290,0.28,1.0,0.24,True,True,True,261,REJEITAR
102241,"Swords Against Wizardry (Fafhrd and the Gray Mouser, #4)","Swords Against Wizardry (Fafhrd and the Gray Mouser, #4)",0441791948,9780441791941,Swords Against Wizardry,Fritz Leiber,0441791948,9780441791941,Swords and Ice Magic,Fritz Leiber,,,0.6133,0.3889,0.4651,True,False,False,80,REJEITAR
39799,"One Step Behind  (Kurt Wallander, #7)","One Step Behind  (Kurt Wallander, #7)",0099448874,9780099448877,One Step Behind (Kurt Wallender Mystery),Henning Mankell,0099448874,9780099448877,One Step Behind,Henning Mankell,0099448874,9780099448877,0.8571,0.6383,0.566,True,True,True,245,REJEITAR
25664796,"Hold On (The 'Burg, #6)","Hold On (The 'Burg, #6)",,,,,,,Hold On to Your Kids,"Gordon Neufeld|Gabor Maté, MD",0307375498,9780307375490,0.0,0.6842,0.0,False,False,False,-25,REJEITAR
18890678,"Take a Breath (Take, #1)","Take a Breath (Take, #1)",,9781311740700,Juliet Takes a Breath,Gabby Rivera|Gaby Rivera,1713625431,9781713625438,Take a Breath,Sujean Rim,1534492542,9781534492547,0.6341,0.7879,0.7647,False,False,False,5,BAIXO
24445517,"Maybe Someday (Maybe, #1)","Maybe Someday (Maybe, #1)",,,"Un jour, peut-être?",Colleen Hoover,2755622385,9782755622386,Maybe someday,Colleen Hoover,8381351081,9788381351089,0.2105,0.7647,0.2,False,False,False,28,REJEITAR
213472,"Death of a Cad (Hamish Macbeth, #2)","Death of a Cad (Hamish Macbeth, #2)",0446607142,9780446607148,Death of a Cad (Hamish Macbeth Mysteries),Marion Chesney,0446607142,9780446607148,Death of a Cad,M. C. Beaton,0446607142,9780446607148,0.8571,0.6222,0.5283,True,True,True,230,REJEITAR
17371024,"The Rithmatist (Rithmatist, #1)","The Rithmatist (Rithmatist, #1)",,,Rithmatist,Brandon Sanderson,3453269861,9781444009514,The Rithmatist,Brandon Sanderson,1447266161,9781447266167,0.5405,0.6829,0.8333,False,False,False,36,BAIXO
17826807,Relics,Relics,,,Relics,Tim Lebbon,1785650300,9781982624385,Thought Relics,Rabindranath Tagore,1625581246,9781625581242,1.0,0.6,0.6,False,False,False,38,REJEITAR
8239682,"The Spymaster's Lady (The Spymaster's Lady, #1)","The Spymaster's Lady (The Spymaster's Lady, #1)",,,The Spymaster's Lady (Berkley Sensation),Joanna Bourne,0425219607,9780425219607,The Spymaster's Lady,Joanna Bourne,1101206861,9781101206867,0.642,0.6349,0.6897,False,False,False,-10,REJEITAR
28517722,Fame,Fame,,,Gold fame citrus,Claire Vaye Watkins,1410486303,9781410486301,,,,,0.4,0.0,0.0,False,False,False,-17,REJEITAR
216443,Heir to the Empire (Star Wars: The Thrawn Trilogy #1),Heir to the Empire (Star Wars: The Thrawn Trilogy #1),0553296124,9780553296129,Star Wars - Thrawn Trilogy - Heir to the Empire,Timothy Zahn,0553296124,,Heir to the Empire: Star Wars Legends (The Thrawn Trilogy),Timothy Zahn,0553296124,9780553296129,0.3913,0.9038,0.3673,False,True,False,167,REJEITAR
216442,"Dark Force Rising (Star Wars: The Thrawn Trilogy, #2)","Dark Force Rising (Star Wars: The Thrawn Trilogy, #2)",0553560719,9780553560718,Dark force rising,Timothy Zahn,0553560719,9780553560718,Dark Force Rising: Star Wars Legends (The Thrawn Trilogy),Timothy Zahn,0553560719,9780553560718,0.5231,0.902,0.4789,True,True,True,245,REJEITAR
6421588,"Hourglass (Evernight, #3)","Hourglass (Evernight, #3)",0061284475,9780061284472,Bearing an Hourglass (Incarnations of Immortality),Piers Anthony,0808565095,9780808565093,Hourglass,,1451760183,9781451760187,0.4058,0.6,0.3158,False,False,False,-17,REJEITAR
15786699,The Song of Mu Lan,The Song of Mu Lan,,,The song of Mu Lan,Jeanne M. Lee,1886910006,9781886910003,木兰歌,Jeanne M. Lee,1886910006,9781886910003,1.0,0.0,0.0,False,False,True,81,REJEITAR
10187987,It,It,8882743500,9788882743505,It Ends With Us,Colleen Hoover,8820072947,9788820072940,It,Stephen King,8882743500,9788882743505,0.2353,1.0,0.2353,False,True,False,128,REJEITAR
16137367,"Office Toy (Office Toy, #1)","Office Toy (Office Toy, #1)",,,,,,,The Office Toy,de Great Lov,,9798272214058,0.0,0.6486,0.0,False,False,False,-25,REJEITAR
6072275,Unfinished Desires,Unfinished Desires,0345483200,9780345483201,The red nun,Gail Godwin,,9780345483201,Unfinished Desires,Gail Godwin,0345483200,9780345483201,0.2759,1.0,0.2759,True,True,True,221,REJEITAR
29396738,"Monstress, Vol. 1: Awakening (Monstress, #1)","Monstress, Vol. 1: Awakening (Monstress, #1)",1632157098,9781632157096,"Monstress, Vol. 1",Marjorie M. Liu|Sana Takeda,1632157098,9781632157096,Monstress: Haven (Collecting Monstress issues #13-18),Marjorie M. Liu,,,0.5769,0.6744,0.4688,True,False,False,96,REJEITAR
865957,The Other Dog,The Other Dog,158717040X,9781587170409,"The inside-outside book of Washington, D.C.",Roxie Munro,158717040X,,The Other Dog,Madeleine L'Engle,158717040X,9781587170409,0.3333,1.0,0.2593,False,True,False,176,REJEITAR
22909818,"The Black Knife (The Orphan Queen, #0.4)","The Black Knife (The Orphan Queen, #0.4)",,,The Black Knife (Orphan Queen Book 4),Jodi Meadows,0062377086,9780062377081,The Black Knife,Jodi Meadows,0062377086,9780062377081,0.8732,0.5882,0.6,False,False,True,65,REJEITAR
5558786,"Metro 2033 (METRO, #1)","Metro 2033 (METRO, #1)",3453532988,9783453532984,Metro 2033,Дмитрий Глуховский,,9783453532984,Metro zweitausend dreiunddreissig,Dmitrij A. Gluchovskij|M. David Drevs,3453532988,9783453532984,0.7143,0.3529,0.2791,True,True,True,151,REJEITAR
22305178,The Price of Dick,The Price of Dick,,9781937252823,,,,,Sometimes the Price of Dick is a Little Crying,Julia Isler,1990474020,9781990474026,0.0,0.5397,0.0,False,False,False,-25,REJEITAR
22369031,"Cartel (Cartel, #1)","Cartel (Cartel, #1)",,,Cartel 6,Ashley|Ashley & JaQuavis,1504723791,9781466874909,Cartel,Ivo Teixeira Gico Junior,8587364871,9788587364876,0.6087,0.5714,0.8571,False,False,False,22,BAIXO
10123237,The Inventor's Secret (The Inventor's Secret #1),The Inventor's Secret (The Inventor's Secret #1),,,Inventor's Secret,Chad Morris,1609078756,9781609075521,The Inventor's Secret: Volume 1,Chad Morris,1609078756,9781609078751,0.5484,0.6667,0.7234,False,False,False,6,REJEITAR
20603046,I Must Say: My Life As a Humble Comedy Legend,I Must Say: My Life As a Humble Comedy Legend,0062350854,9780062350855,"Before I Die, I Must Say This",Michael Tavon,,9798838329097,I Must Say HCC,Martin Short,0062368842,9780062368843,0.3611,0.4483,0.5714,False,False,False,-17,REJEITAR
1036392,"Seira and the Legend of Madriva (Magical Seira, #1)","Seira and the Legend of Madriva (Magical Seira, #1)",9793750111,,,,,,Magical Seira: Seira and the legend of Madriva,Sitta Karina,602765208X,9786027652088,0.0,0.6739,0.0,False,False,False,-25,REJEITAR
159084,Saving the World,Saving the World,1565125584,9781565125582,Saving the World (Shannon Ravenel Books),Julia Alvarez,1565125584,9781565125582,Saving the World,Julia Alvarez,1565125584,9781565125582,0.5926,1.0,0.5926,True,True,True,261,REJEITAR
13167778,One Good Egg: An Illustrated Memoir,One Good Egg: An Illustrated Memoir,1608192768,9781608192762,One Good Egg An Illustrated Memoir,Richard Ed. Becker,,9781608192762,One Good Egg,Suzy Becker,1608192768,9781608192762,1.0,0.5217,0.5217,True,True,True,206,REJEITAR
34860402,Leia: Princess of Alderaan,Leia: Princess of Alderaan,1484780787,9781484780787,Journey to Star Wars,Claudia Gray|Axelle Demoulin|Nicolas Ancion,,9781484780787,"Journey to Star Wars: The Last Jedi Leia, Princess of Alderaan",Claudia Gray,1484780787,9781484780787,0.2222,0.5882,0.5,True,True,True,166,REJEITAR
12476820,"Partials (Partials Sequence, #1)","Partials (Partials Sequence, #1)",0062071041,9780062071040,Partials Sequence,Dan Wells,,9780062071040,Partials,Dan Wells,0062071041,9780062071040,0.7556,0.4444,0.64,True,True,True,196,REJEITAR
13407712,"Through the Lens (Through the Lens, #1)","Through the Lens (Through the Lens, #1)",,,,,,,Through the Lens / Através del Lente,Vicki Fish,1480976563,9781480976566,0.0,0.7246,0.0,False,False,False,-25,REJEITAR
15704307,"Saga, Vol. 1 (Saga, #1)","Saga, Vol. 1 (Saga, #1)",1607066017,9781607066019,Saga,Brian K. Vaughan,,9781607066019,Saga Volume 1,Brian K Vaughan,1607066017,9781607066019,0.381,0.6667,0.4706,True,True,True,166,REJEITAR
31422750,Inside the Magic: The Making of Fantastic Beasts and Where to Find Them,Inside the Magic: The Making of Fantastic Beasts and Where to Find Them,0008204594,9780008204594,Inside the Magic,Ian Nathan,,9780008204594,Inside the Magic: the Making of Fantastic Beasts and Where to Find Them,Ian Nathan,0008204594,9780008204594,0.3721,1.0,0.3721,True,True,True,205,REJEITAR
29502065,"Contribute (Holo, #2)","Contribute (Holo, #2)",1631630989,9781631630989,Contribute (The Holo Series),Kristy Acevedo,1631630989,9781631630989,Contribute,Kristy Acevedo,1631630989,9781631630989,0.7442,0.7407,0.5556,True,True,True,206,REJEITAR
18085469,"The Forbidden Stone (The Copernicus Legacy, #1)","The Forbidden Stone (The Copernicus Legacy, #1)",006219447X,9780062194473,The Forbidden Stone,Tony Abbott,,9780062194473,The Copernicus Legacy: The Forbidden Stone,Tony Abbott,006219447X,9780062194473,0.6129,0.5238,0.6333,True,True,True,166,REJEITAR
10595576,Run,Run,,,Born to Run / 天生就会跑,Christopher McDougall|Fred Sanders,754426033X,9787544260336,Born to Run,Christopher McDougall,184765228X,9781847652287,0.3,0.4286,0.7857,False,False,False,36,BAIXO
227658,Running Out of Time,Running Out of Time,0439632501,9780439632508,Running Out of Time (An ALA Best Book for Young Adults),[author not identified],0439632501,9780439632508,Running Out of Time,Cindi Myers,0369763920,9780369763921,0.5278,1.0,0.5278,True,False,False,128,REJEITAR
22014961,"Stormbird (Wars of the Roses, #1)","Stormbird (Wars of the Roses, #1)",0718196341,9780718196349,Stormbird,Conn Iggulden,,9780718196349,Wars of the Roses: Stormbird,Conn Iggulden,0718196341,9780718196349,0.4737,0.6429,0.5,True,True,True,166,REJEITAR
5581455,"Graceling (Graceling Realm, #1)","Graceling (Graceling Realm, #1)",,,Graceling,Kristin Cashore,193418070X,9781934180709,Graceling Graphic Novel,Kristin Cashore,0358505054,9780358505051,0.5,0.64,0.5625,False,False,False,-2,REJEITAR
25510287,"Little Wild Animal (Little Wild Animal Universe, #1)","Little Wild Animal (Little Wild Animal Universe, #1)",,,,,,,Little Wild Animal Hugs,Hans Wilhelm,1797207180,9781797207186,0.0,0.5915,0.0,False,False,False,-25,REJEITAR
18660669,"Vampire Academy (Vampire Academy, #1)","Vampire Academy (Vampire Academy, #1)",,,Vampire Academy,Richelle Mead|Richelle Mead,1616647477,9780141960371,VAMPIRE ACADEMY BOLSILLO (VAMPIRE ACADEMY 01),Richelle Mead,8466320229,9788466320221,0.625,0.8684,0.5172,False,False,False,45,REJEITAR
33808975,His Touch,His Touch,,,,,,,His Touch of Grace,Cathy Nordgaarden,,9798888519851,0.0,0.6667,0.0,False,False,False,-25,REJEITAR
13642,"A Wizard of Earthsea (Earthsea Cycle, #1)","A Wizard of Earthsea (Earthsea Cycle, #1)",0553383043,9780553383041,"A Wizard of Earthsea (The Earthsea Cycle, Book 1)",Ursula K. Le Guin,0553383043,9780553383041,A Wizard of Earthsea,Ursula K. Le Guin,0553383043,9780553383041,0.8916,0.7018,0.6061,True,True,True,229,REJEITAR
12969594,The Orphan Master's Son,The Orphan Master's Son,,,Syn zarzadcy sierocinca,Adam Johnson,8327300695,9788327300690,The Orphan Master's Son,Adam Johnson,0552778257,9780552778251,0.3478,1.0,0.3478,False,False,False,61,REJEITAR
21489166,"Uncanny X-Men, Volume 4: Vs. S.H.I.E.L.D.","Uncanny X-Men, Volume 4: Vs. S.H.I.E.L.D.",0785154892,9780785154891,Uncanny X-Men Volume 4: Vs. S.H.I.E.L.D. (Marvel Now) (Uncanny X-Men: Marvel Now!),Brian Michael Bendis,0785154892,9780785154891,Uncanny X-Men Volume 4,,0785154892,9780785154891,0.6727,0.7458,0.4632,True,True,True,191,REJEITAR
30354511,Mail-Order Bride (Kindle Single),Mail-Order Bride (Kindle Single),,,,,,,Mail Order Bride - Georgina Finds Love,Karla Gracey,,,0.0,0.6667,0.0,False,False,False,-25,REJEITAR
33412025,شيفرة بلال,شيفرة بلال,,9786037050294,شيفرة بلال_bilal code,د. أحمد خيري العمري Dr. Ahmed Kheiri al Omri,6037050295,9786037050294,شيفرة بلال,عمري، أحمد خيري,6037050295,9786037050294,0.6452,1.0,0.6452,True,True,True,166,REJEITAR
1742094,"A Daughter's Inheritance (The Broadmoor Legacy, #1)","A Daughter's Inheritance (The Broadmoor Legacy, #1)",0764203649,9780764203640,"A Daughters Inheritance (Broadmoor Legacy, Book 1)",Tracie Peterson,0764203649,9780764203640,A Daughter's Inheritance,Tracie Peterson|Judith Miller,0764203649,9780764203640,0.8936,0.6761,0.6479,True,True,True,229,REJEITAR
13831,"Alanna: The First Adventure (Song of the Lioness, #1)","Alanna: The First Adventure (Song of the Lioness, #1)",0689878559,9780689878558,Alanna: The First Adventure,Tamora Pierce,0689878559,,Alanna,Tamora Pierce,0689878559,9780689878558,0.7027,0.2222,0.375,False,True,False,136,REJEITAR
32478019,"Trees, Vol. 2: Two Forests","Trees, Vol. 2: Two Forests",,,Family Tree Vol. 2,Jeff Lemire|Phil Hester|Eric Gapstur|Ryan Cody,1534318976,9781534318977,Trees Vol. 2,Warren Ellis,1534301305,9781534301306,0.5,0.6471,0.7143,False,False,False,-25,REJEITAR
28229623,Unleashed: Volume 2,Unleashed: Volume 2,,,Déchaîné,Dav Pilkey,0545935202,9781443159234,Unleashed,Sara Humphreys,1402258445,9781402258442,0.1538,0.6667,0.1176,False,False,False,-17,REJEITAR
13707578,"Paleofantasy: What Evolution Really Tells Us about Sex, Diet, and How We Live","Paleofantasy: What Evolution Really Tells Us about Sex, Diet, and How We Live",0393081370,9780393081374,Paleofantasy What Evolution Really Tells Us About Sex Diet And How We Live,Marlene Zuk,,9780393081374,Paleofantasy,Marlene Zuk,0393081370,9780393081374,1.0,0.2791,0.2791,True,True,True,221,REJEITAR
164255,Adam of the Road,Adam of the Road,0142406597,9780142406595,Adam of the Road,Elizabeth Janet Gray,0142406597,9780142406595,Adam of the Road (Puffin Modern Classics),Elizabeth Gray Vining,,,1.0,0.5818,0.5818,True,False,False,128,REJEITAR
10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)","A Dance with Dragons (A Song of Ice and Fire, #5)",,,Taniec ze smokami,George R. R. Martin,0553841122,9788375068979,"A Dance With Dragons Complete Edition (Two in One) (A Song of Ice and Fire, Book 5)",George R.R. Martin,0007442459,9780007442454,0.1935,0.7317,0.1895,False,False,False,-2,REJEITAR
30065,"The Walking Dead, Vol. 05: The Best Defense","The Walking Dead, Vol. 05: The Best Defense",158240612X,9781582406121,"The Walking Dead, Vol. 5",Robert Kirkman,158240612X,9781582406121,Walking Dead Volume 5: The Best Defense,Robert Kirkman,158240612X,9781582406121,0.7097,0.8974,0.6,True,True,True,229,REJEITAR
18952164,"Magic Rises (Kate Daniels, #6)","Magic Rises (Kate Daniels, #6)",,,Magic Rises Kate Daniels 6,Ilona Andrews,1937007588,9781937007584,Magic Rises,Ilona Andrews,1625172362,9781625172365,1.0,0.5946,0.5946,False,False,False,45,REJEITAR
14570,"Eight Cousins (Eight Cousins, #1)","Eight Cousins (Eight Cousins, #1)",0486455599,9780486455594,Eight Cousins (Evergreen Classics),Louisa May Alcott,0486455599,9780486455594,Eight Cousins,Louisa May Alcott,0486455599,9780486455594,0.6885,0.619,0.5778,True,True,True,206,REJEITAR
239186,"Isaac's Storm: A Man, a Time, and the Deadliest Hurricane in History","Isaac's Storm: A Man, a Time, and the Deadliest Hurricane in History",0375708278,9780375708275,"Isaac's Storm: A Man, a Time, and the Deadliest Hurricane in History",Belva Plain,0375708278,9780375708275,Isaac's Storm,Erik Larson,0375708278,9780375708275,1.0,0.3333,0.3333,True,True,True,230,REJEITAR
1834753,The Broken Hearts Club,The Broken Hearts Club,0345426037,9780345426031,The Broken Hearts Club (Conrad Voort Novels (Paperback)),Ethan Black,0345426037,9780345426031,The Broken Hearts Club,Ethan Black,0345426037,9780345426031,0.5946,1.0,0.5946,True,True,True,261,REJEITAR
6718719,"Siege  (As The World Dies, #3)","Siege  (As The World Dies, #3)",,,Stormangrep,Leigh Bardugo,8205536945,9788205536944,Latin Siege Warfare in the Twelfth Century,Randall Rogers,0191591815,9780191591815,0.2778,0.4179,0.1887,False,False,False,-25,REJEITAR
1588019,An Unladylike Offer,An Unladylike Offer,037329462X,9780373294626,An Unladylike Offer (Harlequin Historical Series),Christine Merrill,037329462X,9780373294626,An Unladylike Offer,Christine Merrill,037329462X,9780373294626,0.5758,1.0,0.5758,True,True,True,261,REJEITAR
293981,"The Chosen (Night World, #5)","The Chosen (Night World, #5)",067155137X,9780671551377,Night World,Lisa Jane Smith,067155137X,,The Chosen,L. J. Smith,067155137X,9780671551377,0.6286,0.5882,0.0952,False,True,False,121,REJEITAR
28353101,Made in America: An Informal History of the English Language in the United States,Made in America: An Informal History of the English Language in the United States,,,"Love By Proxy (Men Made in America, Illinois)",Diana Palmer,0373360169,9780373360161,Made in America,Bill Bryson,0552998052,9780552998055,0.3443,0.3158,0.5263,False,False,False,-17,REJEITAR
